Movies Names,Rating out of 10,Count of Ratings,Release Date,Budget,Domestic Gross,Domestic Gross2,Domestic Weekend Gross,Domestic Weekend,Domestic Weekend Gross Date,Worldwide Gross
Joker,8.4,1.5M,"October 2, 2019 (India)","$55,000,000 (estimated)",US & Canada,$335477657,US & Canada,$96202337,Oct 6 2019,"$1,078,958,629"
Mononoke-hime,8.3,432K,"March 2, 2020 (India)","¥2,400,000,000 (estimated)",US & Canada,$4845631,US & Canada,$144446,Oct 31 1999,"$170,204,201"
Good Will Hunting,8.3,1.1M,"January 9, 1998 (United States)","$10,000,000 (estimated)",US & Canada,$138433435,US & Canada,$272912,Dec 7 1997,"$225,933,435"
Kimi No Na Wa.,8.4,317K,"August 26, 2016 (Japan)","¥370,000,000 (estimated)",US & Canada,$5017246,US & Canada,$1813781,Apr 9 2017,"$382,238,191"
Once Upon a Time in America,8.3,376K,"June 1, 1984 (United States)","$30,000,000 (estimated)",US & Canada,$5321508,US & Canada,$2412014,Jun 3 1984,"$5,475,086"
Tengoku to Jigoku,8.4,53K,"March 1, 1963 (Japan)",Not Found,US & Canada,$46808,US & Canada,$15942,Jul 28 2002,"$46,808"
3 Idiots,8.4,433K,"December 25, 2009 (India)","₹550,000,000 (estimated)",US & Canada,$6532874,US & Canada,$1645502,Dec 27 2009,"$60,262,836"
Singin' in the Rain,8.3,260K,"April 10, 1952 (United States)","$2,540,800 (estimated)",US & Canada,$1884537,US & Canada,$13643,Nov 10 2002,"$2,008,537"
Capharnaüm,8.4,104K,"June 21, 2019 (India)","$4,000,000 (estimated)",US & Canada,$1661096,US & Canada,$24988,Dec 16 2018,"$64,417,003"
Oppenheimer,8.3,700K,"July 21, 2023 (India)","$100,000,000 (estimated)",US & Canada,$329862540,US & Canada,$82455420,Jul 23 2023,"$960,428,540"
Requiem for a Dream,8.3,896K,"October 4, 2017 (India)","$4,500,000 (estimated)",US & Canada,$3635482,US & Canada,$64770,Oct 8 2000,"$7,390,108"
Idi I Smotri,8.4,96K,"September 3, 1985 (Philippines)",Not Found,US & Canada,$71909,US & Canada,$16053,Feb 23 2020,"$20,929,648"
Toy Story 3,8.3,890K,"June 25, 2010 (India)","$200,000,000 (estimated)",US & Canada,$415004880,US & Canada,$110307189,Jun 20 2010,"$1,067,316,101"
Star Wars: Episode VI - Return of the Jedi,8.3,1.1M,"December 16, 1983 (India)","$32,500,000 (estimated)",US & Canada,$316566101,US & Canada,$23019618,May 29 1983,"$475,106,177"
Eternal Sunshine of the Spotless Mind,8.3,1.1M,"December 15, 2019 (India)","$20,000,000 (estimated)",US & Canada,$34400301,US & Canada,$8175198,Mar 21 2004,"$73,390,334"
Jagten,8.3,363K,"January 10, 2013 (Denmark)","DKK 20,000,000 (estimated)",US & Canada,$613308,US & Canada,$43045,Jul 14 2013,"$15,886,373"
2001: A Space Odyssey,8.3,717K,"October 4, 2017 (India)","$12,000,000 (estimated)",US & Canada,$60481243,US & Canada,$202759,May 20 2018,"$66,543,782"
Reservoir Dogs,8.3,1.1M,"September 2, 1992 (India)","$1,200,000 (estimated)",US & Canada,$2832029,US & Canada,$147839,Oct 25 1992,"$2,930,208"
Ikiru,8.3,87K,"October 9, 1952 (Japan)",Not Found,US & Canada,$60239,US & Canada,$2149,Dec 29 2002,"$96,302"
