Movies Names,Rating out of 10,Count of Ratings,Release Date,Budget,Domestic Gross,Domestic Gross2,Domestic Weekend Gross,Domestic Weekend,Domestic Weekend Gross Date,Worldwide Gross
Jaws,8.1,657K,"December 26, 1975 (India)","$7,000,000 (estimated)",US & Canada,$266567580,US & Canada,$7061513,Jun 22 1975,"$477,220,580"
How to Train Your Dragon,8.1,797K,"April 16, 2010 (India)","$165,000,000 (estimated)",US & Canada,$217581231,US & Canada,$43732319,Mar 28 2010,"$494,879,860"
Mary and Max,8.1,186K,"April 9, 2009 (Australia)","A$8,240,000 (estimated)",US & Canada,Not Found,US & Canada,Not Found,Not Found,"$1,740,625"
Mr. Smith Goes to Washington,8.1,121K,"October 19, 1939 (United States)","$1,900,000 (estimated)",US & Canada,$144738,US & Canada,$83205,Oct 14 2018,"$145,941"
Ratatouille,8.1,820K,"August 24, 2007 (India)","$150,000,000 (estimated)",US & Canada,$206445654,US & Canada,$47027395,Jul 1 2007,"$623,728,318"
Ford v. Ferrari,8.1,468K,"November 15, 2019 (India)","$97,600,000 (estimated)",US & Canada,$117624357,US & Canada,$31474958,Nov 17 2019,"$225,508,210"
The Big Lebowski,8.1,858K,"December 21, 2019 (India)","$15,000,000 (estimated)",US & Canada,$19301403,US & Canada,$5533844,Mar 8 1998,"$48,066,229"
Det Sjunde Inseglet,8.1,198K,"February 16, 1957 (Sweden)","$150,000 (estimated)",US & Canada,Not Found,US & Canada,Not Found,Not Found,"$311,212"
Room,8.1,449K,"January 29, 2016 (India)","$13,000,000 (estimated)",US & Canada,$14677654,US & Canada,$118298,Oct 18 2015,"$35,402,766"
Tokyo Story,8.1,68K,"November 3, 1953 (Japan)",Not Found,US & Canada,Not Found,US & Canada,Not Found,Not Found,"$88,647"
Rocky,8.1,626K,"December 3, 1976 (United States)","$960,000 (estimated)",US & Canada,$117235147,US & Canada,Not Found,Not Found,"$117,251,948"
Logan,8.1,828K,"March 3, 2017 (India)","$97,000,000 (estimated)",US & Canada,$226277068,US & Canada,$88411916,Mar 5 2017,"$619,180,476"
Spotlight,8.1,501K,"February 19, 2016 (India)","$20,000,000 (estimated)",US & Canada,$45055776,US & Canada,$295009,Nov 8 2015,"$98,690,254"
Hotel Rwanda,8.1,371K,"February 4, 2005 (United States)","$17,500,000 (estimated)",US & Canada,$23530892,US & Canada,$100091,Dec 26 2004,"$33,882,243"
Platoon,8.1,438K,"February 13, 1989 (India)","$6,000,000 (estimated)",US & Canada,$138530565,US & Canada,$241080,Dec 21 1986,"$138,545,632"
The Terminator,8.1,921K,"October 26, 1984 (United States)","$6,400,000 (estimated)",US & Canada,$38371200,US & Canada,$4020663,Oct 28 1984,"$78,371,200"
La passion de Jeanne d'Arc,8.1,60K,"October 25, 1928 (France)",Not Found,US & Canada,$21877,US & Canada,$6408,Nov 26 2017,"$22,731"
Before Sunset,8.1,287K,"July 30, 2004 (United States)","$2,700,000 (estimated)",US & Canada,$5820649,US & Canada,$219425,Jul 4 2004,"$15,854,926"
La haine,8.1,195K,"June 25, 1996 (India)","€2,590,000 (estimated)",US & Canada,$280859,US & Canada,Not Found,Not Found,"$414,607"
The Best Years of Our Lives,8.1,70K,"May 29, 1947 (Mexico)","$2,100,000 (estimated)",US & Canada,$23650000,US & Canada,Not Found,Not Found,"$23,661,347"
The Exorcist,8.1,453K,"August 27, 1977 (India)","$11,000,000 (estimated)",US & Canada,$233005644,US & Canada,$8175666,Sep 24 2000,"$441,306,145"
Pirates of the Caribbean: The Curse of the Black Pearl,8.1,1.2M,"August 15, 2003 (India)","$140,000,000 (estimated)",US & Canada,$305413918,US & Canada,$46630690,Jul 13 2003,"$654,264,546"
Jai Bhim,8.7,217K,"November 2, 2021 (India)",Not Found,US & Canada,Not Found,US & Canada,Not Found,Not Found,
Rush,8.1,512K,"September 20, 2013 (India)","$38,000,000 (estimated)",US & Canada,$26947624,US & Canada,$187289,Sep 22 2013,"$96,992,516"
Network,8.1,170K,"November 27, 1976 (United States)","$3,800,000 (estimated)",US & Canada,$23689877,US & Canada,Not Found,Not Found,"$23,692,346"
Stand by Me,8.1,440K,1987 (India),"$8,000,000 (estimated)",US & Canada,$52287414,US & Canada,$242795,Aug 10 1986,"$52,290,509"
The Wizard of Oz,8.1,427K,"January 6, 1952 (India)","$2,777,000 (estimated)",US & Canada,$24668669,US & Canada,$5354311,Nov 8 1998,"$25,637,669"
The Incredibles,8.0,805K,"November 5, 2004 (United States)","$92,000,000 (estimated)",US & Canada,$261441092,US & Canada,$70467623,Nov 7 2004,"$631,686,750"
Hachi: A Dog's Tale,8.1,310K,"October 4, 2017 (India)","$16,000,000 (estimated)",US & Canada,Not Found,US & Canada,Not Found,Not Found,"$46,749,646"
Ah-ga-ssi,8.1,171K,"August 25, 2016 (India)","₩10,000,000,000 (estimated)",US & Canada,$2006788,US & Canada,$92129,Oct 23 2016,"$37,863,670"
Into the Wild,8.1,656K,"July 31, 2018 (India)","$15,000,000 (estimated)",US & Canada,$18354356,US & Canada,$212440,Sep 23 2007,"$56,676,733"
My Father and My Son,8.2,92K,"November 18, 2005 (Turkey)",Not Found,US & Canada,Not Found,US & Canada,Not Found,Not Found,"$18,612,999"
The Sound of Music,8.1,260K,"March 22, 2014 (India)","$8,200,000 (estimated)",US & Canada,$159287539,US & Canada,$413497,Sep 9 2018,"$159,468,844"
La battaglia di Algeri,8.1,65K,"September 9, 1966 (Italy)","$800,000 (estimated)",US & Canada,$879794,US & Canada,$64870,Jan 11 2004,"$962,002"
The Grapes of Wrath,8.1,100K,"March 15, 1940 (United States)","$800,000 (estimated)",US & Canada,Not Found,US & Canada,Not Found,Not Found,
To Be or Not to Be,8.1,43K,"March 6, 1942 (United States)",Not Found,US & Canada,$3270000,US & Canada,Not Found,Not Found,"$4,578,000"
Groundhog Day,8.0,683K,"February 12, 1993 (United States)","$14,600,000 (estimated)",US & Canada,$71107962,US & Canada,$12517672,Feb 14 1993,"$71,108,778"
Amores perros,8.1,252K,"June 16, 2000 (Mexico)","$2,000,000 (estimated)",US & Canada,$5408467,US & Canada,$61047,Apr 1 2001,"$20,908,467"
Rebecca,8.1,146K,1940 (India),"$1,288,000 (estimated)",US & Canada,Not Found,US & Canada,Not Found,Not Found,"$112,282"
Cool Hand Luke,8.1,188K,"November 1, 1967 (United States)","$3,200,000 (estimated)",US & Canada,Not Found,US & Canada,Not Found,Not Found,$126
The Iron Giant,8.1,226K,"August 6, 1999 (United States)","$70,000,000 (estimated)",US & Canada,$23315035,US & Canada,$5732614,Aug 8 1999,"$23,336,145"
The Help,8.1,491K,"November 25, 2011 (India)","$25,000,000 (estimated)",US & Canada,$169708112,US & Canada,$26044590,Aug 14 2011,"$216,639,112"
It Happened One Night,8.1,112K,"February 22, 1934 (United States)","$325,000 (estimated)",US & Canada,Not Found,US & Canada,Not Found,Not Found,"$14,729"
Aladdin,8.0,464K,"December 23, 1994 (India)","$28,000,000 (estimated)",US & Canada,$217350219,US & Canada,$196664,Nov 15 1992,"$504,050,219"
Dances with Wolves,8.0,289K,"November 21, 1990 (United States)","$22,000,000 (estimated)",US & Canada,$184208848,US & Canada,$598257,Nov 11 1990,"$424,208,848"
Gangs of Wasseypur,8.2,103K,"June 22, 2012 (India)","₹184,000,000 (estimated)",US & Canada,Not Found,US & Canada,Not Found,Not Found,"$4,384,642"
